user,timestamp,cpu,ram,disco
renan,2025-08-22 13:00:03,0.0,67.2,42.1
renan,2025-08-22 13:00:13,35.4,66.7,42.1
renan,2025-08-22 13:00:23,27.9,66.6,42.1
renan,2025-08-22 13:00:33,32.3,67.7,42.1
renan,2025-08-22 13:00:43,43.9,67.6,42.1
renan,2025-08-22 13:00:53,20.2,66.6,42.1
renan,2025-08-22 13:01:03,26.5,66.9,42.1
renan,2025-08-22 13:01:13,18.1,66.1,42.1
renan,2025-08-22 13:01:23,31.6,67.5,42.1
renan,2025-08-22 13:01:33,59.4,67.4,42.1
renan,2025-08-22 13:01:43,41.5,66.0,42.1
renan,2025-08-22 13:01:53,43.4,66.5,42.1
renan,2025-08-22 13:02:03,33.4,65.5,42.1
renan,2025-08-22 13:02:13,34.4,64.8,42.1
renan,2025-08-22 13:02:23,38.4,65.1,42.1
renan,2025-08-22 13:02:33,56.2,68.0,42.1
renan,2025-08-22 13:02:43,44.6,66.6,42.1
renan,2025-08-22 13:02:53,27.2,66.7,42.1
renan,2025-08-22 13:03:03,27.6,67.1,42.1
renan,2025-08-22 13:03:13,37.4,67.0,42.1
renan,2025-08-22 13:03:23,32.5,67.1,42.1
renan,2025-08-22 13:03:33,32.7,67.8,42.1
renan,2025-08-22 13:03:43,32.0,65.1,42.1
renan,2025-08-22 13:03:53,19.7,64.8,42.1
renan,2025-08-22 13:04:03,27.2,65.3,42.1
renan,2025-08-22 13:04:13,45.8,64.8,42.1
renan,2025-08-22 13:04:23,28.1,64.3,42.1
renan,2025-08-22 13:04:33,20.2,64.1,42.1
renan,2025-08-22 13:04:43,10.1,64.0,42.1
renan,2025-08-22 13:04:53,5.2,63.9,42.1
renan,2025-08-22 13:05:03,12.6,64.1,42.1
renan,2025-08-22 13:05:13,13.3,63.9,42.1
renan,2025-08-22 13:05:23,5.9,63.9,42.1
renan,2025-08-22 13:05:33,7.8,63.8,42.1
renan,2025-08-22 13:05:43,3.3,63.3,42.1
renan,2025-08-22 13:05:53,2.6,63.2,42.1
renan,2025-08-22 13:06:03,12.2,63.6,42.1
renan,2025-08-22 13:06:13,26.4,63.6,42.1
renan,2025-08-22 13:06:23,26.7,63.5,42.1
renan,2025-08-22 13:06:33,20.6,63.5,42.1
renan,2025-08-22 13:06:43,31.6,66.4,42.1
renan,2025-08-22 13:06:53,49.4,69.3,42.1
renan,2025-08-22 13:07:03,73.2,67.3,42.1
renan,2025-08-22 13:07:13,66.6,69.6,42.1
renan,2025-08-22 13:07:23,20.5,69.8,42.1
renan,2025-08-22 13:07:33,14.3,70.0,42.1
renan,2025-08-22 13:07:43,12.0,68.1,42.1
renan,2025-08-22 13:07:53,14.0,66.1,42.1
