user,timestamp,cpu,ram,disco
renan,2025-08-25 12:57:23,0.0,73.1,42.3
renan,2025-08-25 12:57:43,16.9,72.6,42.3
renan,2025-08-25 12:58:03,10.4,74.7,42.3
renan,2025-08-25 12:58:23,33.0,74.3,42.3
renan,2025-08-25 12:58:43,25.5,71.2,42.3
renan,2025-08-25 12:59:03,27.6,71.7,42.3
renan,2025-08-25 12:59:23,21.3,71.5,42.3
renan,2025-08-25 12:59:43,3.0,70.0,42.3
renan,2025-08-25 13:00:03,17.9,71.8,42.3
renan,2025-08-25 13:00:23,28.2,70.5,42.3
renan,2025-08-25 13:00:43,15.7,70.1,42.3
renan,2025-08-25 13:01:03,13.6,70.4,42.3
renan,2025-08-25 13:01:23,13.4,69.8,42.3
renan,2025-08-25 13:01:43,2.7,69.4,42.3
renan,2025-08-25 13:02:03,6.5,69.7,42.3
renan,2025-08-25 13:02:23,26.6,69.7,42.3
renan,2025-08-25 13:02:43,13.9,69.5,42.3
renan,2025-08-25 13:03:03,6.9,69.9,42.3
renan,2025-08-25 13:03:23,8.1,69.5,42.3
renan,2025-08-25 13:03:43,4.5,67.5,42.3
renan,2025-08-25 13:04:03,6.3,68.0,42.3
renan,2025-08-25 13:04:23,26.2,68.0,42.3
renan,2025-08-25 13:04:43,14.4,67.8,42.3
renan,2025-08-25 13:05:03,6.8,68.2,42.3
renan,2025-08-25 13:05:23,12.5,69.5,42.3
renan,2025-08-25 13:05:43,38.7,78.4,42.3
renan,2025-08-25 13:06:03,33.7,77.3,42.3
renan,2025-08-25 13:06:23,37.7,77.1,42.3
renan,2025-08-25 13:06:43,29.6,77.7,42.3
renan,2025-08-25 13:07:03,17.9,78.7,42.3
renan,2025-08-25 13:07:23,29.3,77.2,42.3
renan,2025-08-25 13:07:43,22.4,76.9,42.3
renan,2025-08-25 13:08:03,23.6,77.9,42.3
renan,2025-08-25 13:08:23,39.9,77.9,42.3
renan,2025-08-25 13:08:43,22.3,75.3,42.3
renan,2025-08-25 13:09:03,6.7,75.8,42.3
renan,2025-08-25 13:09:23,6.3,75.5,42.3
renan,2025-08-25 13:09:43,2.4,75.4,42.3
renan,2025-08-25 13:10:03,6.4,75.7,42.3
renan,2025-08-25 13:10:23,28.7,75.7,42.3
renan,2025-08-25 13:10:43,12.6,75.4,42.3
renan,2025-08-25 13:11:03,5.3,75.8,42.3
renan,2025-08-25 13:11:23,6.7,75.6,42.3
renan,2025-08-25 13:11:43,1.5,75.3,42.3
