;user;timestamp;cpu;ram;disco;temperatura_cpu;temperatura_disco;memoria_swap;quantidade_processos
0;aluno;2025-09-29 13:01:08;8.6;63.6;29.9;49.0;29.85;1.0;296
1;aluno;2025-09-29 13:01:09;3.7;63.7;29.9;50.0;29.85;1.0;299
2;aluno;2025-09-29 13:01:10;3.0;63.7;29.9;49.0;29.85;1.0;296
3;aluno;2025-09-29 13:01:11;2.0;63.7;29.9;48.0;29.85;1.0;296
4;aluno;2025-09-29 13:01:12;1.8;63.7;29.9;49.0;29.85;1.0;296
5;aluno;2025-09-29 13:01:13;2.3;63.7;29.9;49.0;29.85;1.0;299
6;aluno;2025-09-29 13:01:14;28.9;63.5;29.9;48.0;29.85;1.0;296
7;aluno;2025-09-29 13:01:15;15.0;63.5;29.9;50.0;29.85;1.0;296
8;aluno;2025-09-29 13:01:16;21.2;63.5;29.9;50.0;29.85;1.0;296
9;aluno;2025-09-29 13:01:18;17.3;63.5;29.9;50.0;29.85;1.0;299
10;aluno;2025-09-29 13:01:19;9.2;63.5;29.9;50.0;29.85;1.0;296
11;aluno;2025-09-29 13:01:20;1.8;63.5;29.9;49.0;29.85;1.0;296
12;aluno;2025-09-29 13:01:21;2.6;63.5;29.9;49.0;29.85;1.0;296
13;aluno;2025-09-29 13:01:22;2.4;63.5;29.9;49.0;29.85;1.0;296
14;aluno;2025-09-29 13:01:23;3.1;63.5;29.9;49.0;29.85;1.0;299
15;aluno;2025-09-29 13:01:24;2.0;63.5;29.9;48.0;29.85;1.0;296
16;aluno;2025-09-29 13:01:25;1.9;63.5;29.9;49.0;29.85;1.0;296
17;aluno;2025-09-29 13:01:26;2.0;63.5;29.9;48.0;29.85;1.0;296
18;aluno;2025-09-29 13:01:27;1.5;63.5;29.9;48.0;29.85;1.0;296
19;aluno;2025-09-29 13:01:28;2.0;63.5;29.9;48.0;29.85;1.0;299
