;user;timestamp;cpu;ram;disco;temperatura_cpu;temperatura_disco;memoria_swap;quantidade_processos
0;aluno;2025-09-29 13:08:34;63.6;58.4;64.1;44.0;46.0;0.06;271
1;aluno;2025-09-29 13:08:36;43.7;58.1;64.1;44.0;46.0;0.06;274
2;aluno;2025-09-29 13:08:37;36.0;58.1;64.1;44.0;46.0;0.06;271
3;aluno;2025-09-29 13:08:38;43.3;57.9;64.1;43.0;48.0;0.06;271
4;aluno;2025-09-29 13:08:39;55.4;58.2;64.1;44.0;48.0;0.06;271
5;aluno;2025-09-29 13:08:40;55.2;58.6;64.1;43.0;48.0;0.06;272
6;aluno;2025-09-29 13:08:42;65.7;59.5;64.1;54.0;48.0;0.06;272
7;aluno;2025-09-29 13:08:43;47.5;59.6;64.1;44.0;48.0;0.06;272
8;aluno;2025-09-29 13:08:44;48.7;58.8;64.1;50.0;48.0;0.06;276
9;aluno;2025-09-29 13:08:45;48.1;59.9;64.1;52.0;48.0;0.06;273
10;aluno;2025-09-29 13:08:46;60.7;60.2;64.1;54.0;48.0;0.06;273
11;aluno;2025-09-29 13:08:47;76.2;60.6;64.1;56.0;48.0;0.06;273
12;aluno;2025-09-29 13:08:49;71.3;61.2;64.1;53.0;48.0;0.06;277
13;aluno;2025-09-29 13:08:50;77.9;61.7;64.1;55.0;48.0;0.06;275
14;aluno;2025-09-29 13:08:51;68.8;61.8;64.1;55.0;48.0;0.06;275
15;aluno;2025-09-29 13:08:52;61.9;62.3;64.1;47.0;48.0;0.06;275
16;aluno;2025-09-29 13:08:53;55.1;62.1;64.1;46.0;48.0;0.06;277
17;aluno;2025-09-29 13:08:55;64.8;62.2;64.1;53.0;53.0;0.06;274
18;aluno;2025-09-29 13:08:56;44.9;57.8;64.1;45.0;53.0;0.06;271
19;aluno;2025-09-29 13:08:57;54.0;58.1;64.1;45.0;53.0;0.06;271
