;user;timestamp;cpu;ram;disco;temperatura_cpu;temperatura_disco;memoria_swap;quantidade_processos
0;aluno;2025-09-29 13:06:34;35.2;53.9;64.1;41.0;41.0;0.06;267
1;aluno;2025-09-29 13:06:35;33.0;52.7;64.1;41.0;41.0;0.06;270
2;aluno;2025-09-29 13:06:36;27.8;52.7;64.1;41.0;41.0;0.06;267
3;aluno;2025-09-29 13:06:37;27.2;52.6;64.1;41.0;41.0;0.06;270
4;aluno;2025-09-29 13:06:38;29.8;52.5;64.1;41.0;41.0;0.06;267
5;aluno;2025-09-29 13:06:40;37.4;52.5;64.1;40.0;41.0;0.06;267
6;aluno;2025-09-29 13:06:41;37.3;52.7;64.1;41.0;41.0;0.06;267
7;aluno;2025-09-29 13:06:42;50.9;52.7;64.1;41.0;41.0;0.06;270
8;aluno;2025-09-29 13:06:43;44.7;52.9;64.1;48.0;41.0;0.06;267
9;aluno;2025-09-29 13:06:44;61.6;53.3;64.1;41.0;42.0;0.06;267
10;aluno;2025-09-29 13:06:46;77.1;53.3;64.1;51.0;42.0;0.06;267
11;aluno;2025-09-29 13:06:47;44.5;53.4;64.1;41.0;42.0;0.06;267
12;aluno;2025-09-29 13:06:48;58.8;54.0;64.1;41.0;42.0;0.06;269
13;aluno;2025-09-29 13:06:49;53.4;54.0;64.1;41.0;42.0;0.06;267
14;aluno;2025-09-29 13:06:50;58.4;54.0;64.1;41.0;42.0;0.06;267
15;aluno;2025-09-29 13:06:51;51.7;54.0;64.1;41.0;42.0;0.06;267
16;aluno;2025-09-29 13:06:53;53.5;53.9;64.1;42.0;45.0;0.06;270
17;aluno;2025-09-29 13:06:54;62.6;54.0;64.1;41.0;45.0;0.06;267
18;aluno;2025-09-29 13:06:55;52.2;53.9;64.1;41.0;45.0;0.06;267
19;aluno;2025-09-29 13:06:56;54.2;53.9;64.1;43.0;45.0;0.06;267
