;user;timestamp;cpu;ram;disco;temperatura_cpu;temperatura_disco;memoria_swap;quantidade_processos
0;aluno;2025-09-29 13:03:00;7.9;59.8;29.9;54.0;29.85;1.0;290
1;aluno;2025-09-29 13:03:01;3.3;59.9;29.9;53.0;28.85;1.0;293
2;aluno;2025-09-29 13:03:02;2.1;59.9;29.9;53.0;28.85;1.0;290
3;aluno;2025-09-29 13:03:03;3.0;59.9;29.9;53.0;29.85;1.0;293
4;aluno;2025-09-29 13:03:04;14.4;60.0;29.9;53.0;29.85;1.0;290
5;aluno;2025-09-29 13:03:06;31.9;59.0;29.9;53.0;29.85;1.0;287
6;aluno;2025-09-29 13:03:07;13.3;54.8;29.9;53.0;29.85;1.0;285
7;aluno;2025-09-29 13:03:08;11.1;54.8;29.9;54.0;29.85;1.0;288
8;aluno;2025-09-29 13:03:09;11.8;54.4;29.9;53.0;29.85;1.0;285
9;aluno;2025-09-29 13:03:10;10.9;54.3;29.9;52.0;29.85;1.0;285
10;aluno;2025-09-29 13:03:11;10.8;54.4;29.9;52.0;28.85;1.0;285
11;aluno;2025-09-29 13:03:12;11.8;54.4;29.9;59.0;28.85;1.0;286
12;aluno;2025-09-29 13:03:13;70.1;57.2;29.9;69.0;29.85;1.0;290
13;aluno;2025-09-29 13:03:14;25.8;57.3;29.9;55.0;29.85;1.0;287
14;aluno;2025-09-29 13:03:15;15.8;57.3;29.9;53.0;29.85;1.0;287
15;aluno;2025-09-29 13:03:16;27.8;58.6;29.9;69.0;29.85;1.0;287
16;aluno;2025-09-29 13:03:17;74.2;62.0;29.9;69.0;29.85;1.0;287
17;aluno;2025-09-29 13:03:19;65.1;62.1;29.9;61.0;29.85;1.0;290
18;aluno;2025-09-29 13:03:20;40.9;61.1;29.9;57.0;29.85;1.0;287
19;aluno;2025-09-29 13:03:21;5.3;60.1;29.9;55.0;29.85;1.0;287
